tweet_id,tweet_created,airline,airline_sentiment,negative_reason,text
59,2025-02-09 15:38:11,Delta,negative,Damaged Luggage,This is a negative tweet about Delta.
60,2025-02-16 03:44:48,JetBlue,positive,,This is a positive tweet about JetBlue.
61,2025-03-26 01:00:32,American,positive,,This is a positive tweet about American.
62,2025-03-11 16:26:28,Virgin America,positive,,This is a positive tweet about Virgin America.
63,2025-02-10 15:05:21,United,negative,longlines,This is a negative tweet about United.
64,2025-02-02 07:51:38,United,neutral,,This is a neutral tweet about United.
65,2025-03-11 07:09:25,United,negative,Customer Service Issue,This is a negative tweet about United.
66,2025-02-16 16:07:34,United,positive,,This is a positive tweet about United.
67,2025-01-31 03:30:39,Southwest,negative,Flight Attendant Complaints,This is a negative tweet about Southwest.
68,2025-04-17 05:19:46,Virgin America,positive,,This is a positive tweet about Virgin America.
69,2025-03-12 07:58:30,American,positive,,This is a positive tweet about American.
70,2025-03-18 14:02:04,JetBlue,negative,longlines,This is a negative tweet about JetBlue.
71,2025-04-09 02:41:25,JetBlue,positive,,This is a positive tweet about JetBlue.
72,2025-04-07 21:36:18,Virgin America,negative,Cancelled Flight,This is a negative tweet about Virgin America.
73,2025-03-06 22:20:47,American,neutral,,This is a neutral tweet about American.
74,2025-04-18 09:37:14,United,negative,Cancelled Flight,This is a negative tweet about United.
75,2025-01-25 05:33:49,Southwest,negative,Flight Booking Problems,This is a negative tweet about Southwest.
76,2025-03-22 20:23:16,Virgin America,neutral,,This is a neutral tweet about Virgin America.
77,2025-03-06 09:34:21,American,negative,Other Issue,This is a negative tweet about American.
78,2025-02-12 01:45:34,Delta,positive,,This is a positive tweet about Delta.
79,2025-03-09 06:47:31,Southwest,negative,Lost Luggage,This is a negative tweet about Southwest.
80,2025-03-10 16:09:20,Southwest,negative,Damaged Luggage,This is a negative tweet about Southwest.
81,2025-01-23 15:49:06,US Airways,negative,Cancelled Flight,This is a negative tweet about US Airways.
82,2025-02-04 22:54:50,Southwest,negative,Damaged Luggage,This is a negative tweet about Southwest.
83,2025-01-24 09:54:36,Delta,negative,Late Flight,This is a negative tweet about Delta.
84,2025-02-24 09:44:30,JetBlue,neutral,,This is a neutral tweet about JetBlue.
85,2025-03-02 00:52:26,Southwest,negative,Flight Booking Problems,This is a negative tweet about Southwest.
86,2025-04-11 22:31:51,US Airways,negative,Bad Flight,This is a negative tweet about US Airways.
87,2025-03-25 13:54:23,Southwest,negative,Lost Luggage,This is a negative tweet about Southwest.
88,2025-03-08 23:35:41,Delta,negative,Bad Flight,This is a negative tweet about Delta.
89,2025-01-19 15:23:19,United,negative,Other Issue,This is a negative tweet about United.
90,2025-02-17 05:27:05,United,negative,Cancelled Flight,This is a negative tweet about United.
91,2025-02-27 06:39:50,JetBlue,neutral,,This is a neutral tweet about JetBlue.
92,2025-01-22 15:56:59,American,neutral,,This is a neutral tweet about American.
93,2025-03-12 20:16:23,Southwest,neutral,,This is a neutral tweet about Southwest.
94,2025-02-17 03:26:32,Virgin America,positive,,This is a positive tweet about Virgin America.
95,2025-03-09 03:43:13,Delta,neutral,,This is a neutral tweet about Delta.
96,2025-02-01 20:36:26,Virgin America,positive,,This is a positive tweet about Virgin America.
97,2025-03-28 05:41:05,Southwest,positive,,This is a positive tweet about Southwest.
98,2025-03-17 06:10:10,Virgin America,negative,Bad Flight,This is a negative tweet about Virgin America.
99,2025-02-11 18:31:21,US Airways,negative,Flight Attendant Complaints,This is a negative tweet about US Airways.
100,2025-02-20 19:25:44,Virgin America,positive,,This is a positive tweet about Virgin America.
101,2025-03-26 03:59:49,US Airways,positive,,This is a positive tweet about US Airways.
102,2025-02-20 03:17:56,Southwest,negative,Other Issue,This is a negative tweet about Southwest.
103,2025-03-26 10:14:09,Virgin America,negative,Bad Flight,This is a negative tweet about Virgin America.
104,2025-02-16 02:08:58,JetBlue,negative,Lost Luggage,This is a negative tweet about JetBlue.
105,2025-01-24 16:32:46,American,negative,Damaged Luggage,This is a negative tweet about American.
106,2025-03-31 22:15:55,American,negative,Other Issue,This is a negative tweet about American.
107,2025-02-18 00:13:29,JetBlue,neutral,,This is a neutral tweet about JetBlue.
108,2025-02-18 22:38:55,Delta,negative,Damaged Luggage,This is a negative tweet about Delta.
109,2025-03-27 12:49:46,Southwest,positive,,This is a positive tweet about Southwest.
110,2025-03-06 20:11:05,Southwest,positive,,This is a positive tweet about Southwest.
111,2025-02-24 17:22:07,Virgin America,neutral,,This is a neutral tweet about Virgin America.
112,2025-01-28 13:02:16,JetBlue,negative,Late Flight,This is a negative tweet about JetBlue.
113,2025-01-22 15:07:16,Delta,negative,longlines,This is a negative tweet about Delta.
114,2025-04-15 14:22:53,Southwest,positive,,This is a positive tweet about Southwest.
115,2025-03-27 15:25:11,US Airways,negative,Cancelled Flight,This is a negative tweet about US Airways.
116,2025-03-21 03:32:42,US Airways,negative,Damaged Luggage,This is a negative tweet about US Airways.
117,2025-02-12 07:43:50,US Airways,negative,Cancelled Flight,This is a negative tweet about US Airways.
118,2025-04-05 01:24:33,Virgin America,negative,Late Flight,This is a negative tweet about Virgin America.
119,2025-04-12 13:24:10,Virgin America,negative,Flight Booking Problems,This is a negative tweet about Virgin America.
120,2025-04-16 18:41:18,Delta,negative,Lost Luggage,This is a negative tweet about Delta.
121,2025-01-22 03:39:39,JetBlue,negative,Other Issue,This is a negative tweet about JetBlue.
122,2025-03-25 07:44:48,JetBlue,negative,longlines,This is a negative tweet about JetBlue.
123,2025-03-22 01:13:31,American,negative,Late Flight,This is a negative tweet about American.
124,2025-03-07 19:11:03,US Airways,negative,Flight Booking Problems,This is a negative tweet about US Airways.
125,2025-01-31 08:52:42,United,neutral,,This is a neutral tweet about United.
126,2025-03-25 11:58:40,JetBlue,negative,Other Issue,This is a negative tweet about JetBlue.
127,2025-02-21 11:43:19,Virgin America,negative,Late Flight,This is a negative tweet about Virgin America.
128,2025-04-15 13:17:14,United,negative,Damaged Luggage,This is a negative tweet about United.
129,2025-02-27 09:01:00,Virgin America,neutral,,This is a neutral tweet about Virgin America.
130,2025-02-20 00:36:54,JetBlue,neutral,,This is a neutral tweet about JetBlue.
131,2025-04-17 21:26:48,JetBlue,positive,,This is a positive tweet about JetBlue.
132,2025-02-01 21:54:10,Virgin America,negative,Bad Flight,This is a negative tweet about Virgin America.
133,2025-01-26 17:21:37,American,negative,longlines,This is a negative tweet about American.
134,2025-03-01 20:09:13,Delta,positive,,This is a positive tweet about Delta.
135,2025-02-07 17:43:06,Virgin America,positive,,This is a positive tweet about Virgin America.
136,2025-03-02 00:48:31,Virgin America,negative,Damaged Luggage,This is a negative tweet about Virgin America.
137,2025-04-12 08:42:54,United,neutral,,This is a neutral tweet about United.
138,2025-01-24 10:33:04,Virgin America,neutral,,This is a neutral tweet about Virgin America.
139,2025-03-17 01:51:24,US Airways,positive,,This is a positive tweet about US Airways.
140,2025-03-23 23:22:28,United,neutral,,This is a neutral tweet about United.
141,2025-02-11 15:06:22,JetBlue,negative,longlines,This is a negative tweet about JetBlue.
142,2025-03-23 15:17:26,JetBlue,positive,,This is a positive tweet about JetBlue.
143,2025-01-24 23:24:11,United,neutral,,This is a neutral tweet about United.
144,2025-02-22 05:57:15,Southwest,neutral,,This is a neutral tweet about Southwest.
145,2025-04-15 04:17:39,United,positive,,This is a positive tweet about United.
146,2025-02-21 03:49:58,Southwest,positive,,This is a positive tweet about Southwest.
147,2025-02-01 01:06:48,American,negative,longlines,This is a negative tweet about American.
148,2025-04-15 17:07:30,Delta,neutral,,This is a neutral tweet about Delta.
149,2025-01-29 07:11:23,US Airways,negative,Lost Luggage,This is a negative tweet about US Airways.
150,2025-02-22 22:58:15,Delta,neutral,,This is a neutral tweet about Delta.
151,2025-03-07 06:59:02,Virgin America,negative,longlines,This is a negative tweet about Virgin America.
152,2025-02-13 16:26:29,JetBlue,positive,,This is a positive tweet about JetBlue.
153,2025-02-18 17:00:59,United,neutral,,This is a neutral tweet about United.
154,2025-02-27 05:27:00,JetBlue,positive,,This is a positive tweet about JetBlue.
155,2025-02-03 10:17:55,Delta,positive,,This is a positive tweet about Delta.
156,2025-02-28 09:49:00,United,negative,Lost Luggage,This is a negative tweet about United.
157,2025-04-09 04:15:58,Delta,neutral,,This is a neutral tweet about Delta.
158,2025-01-29 19:19:08,American,positive,,This is a positive tweet about American.
159,2025-01-26 16:11:25,Delta,neutral,,This is a neutral tweet about Delta.
160,2025-04-01 18:51:18,Virgin America,negative,Damaged Luggage,This is a negative tweet about Virgin America.
161,2025-04-15 07:04:29,United,negative,Flight Attendant Complaints,This is a negative tweet about United.
162,2025-03-06 15:07:15,American,negative,longlines,This is a negative tweet about American.
163,2025-03-28 09:20:31,United,negative,Lost Luggage,This is a negative tweet about United.
164,2025-04-15 18:32:56,United,negative,Flight Booking Problems,This is a negative tweet about United.
165,2025-02-01 11:30:15,American,negative,longlines,This is a negative tweet about American.
166,2025-03-06 02:46:45,JetBlue,positive,,This is a positive tweet about JetBlue.
167,2025-02-26 17:05:00,Southwest,neutral,,This is a neutral tweet about Southwest.
168,2025-01-24 14:42:35,Delta,negative,Lost Luggage,This is a negative tweet about Delta.
169,2025-04-09 04:32:56,American,negative,Cancelled Flight,This is a negative tweet about American.
170,2025-03-31 00:01:33,Virgin America,negative,Lost Luggage,This is a negative tweet about Virgin America.
171,2025-03-21 06:21:20,United,negative,longlines,This is a negative tweet about United.
172,2025-02-27 01:16:23,Southwest,positive,,This is a positive tweet about Southwest.
173,2025-03-26 04:23:51,Delta,negative,Cancelled Flight,This is a negative tweet about Delta.
174,2025-03-03 12:58:46,US Airways,negative,Bad Flight,This is a negative tweet about US Airways.
175,2025-02-06 00:03:38,Virgin America,negative,Bad Flight,This is a negative tweet about Virgin America.
176,2025-03-12 16:35:52,Southwest,negative,Damaged Luggage,This is a negative tweet about Southwest.
177,2025-03-07 07:30:12,US Airways,positive,,This is a positive tweet about US Airways.
178,2025-02-19 08:43:32,American,negative,Late Flight,This is a negative tweet about American.
179,2025-02-13 21:35:38,United,negative,Cancelled Flight,This is a negative tweet about United.
180,2025-04-02 13:02:07,American,positive,,This is a positive tweet about American.
181,2025-03-24 22:22:02,JetBlue,positive,,This is a positive tweet about JetBlue.
182,2025-03-04 03:12:42,United,negative,Lost Luggage,This is a negative tweet about United.
183,2025-03-24 04:28:36,JetBlue,positive,,This is a positive tweet about JetBlue.
184,2025-01-26 23:26:14,Virgin America,positive,,This is a positive tweet about Virgin America.
185,2025-02-23 08:53:13,United,negative,Late Flight,This is a negative tweet about United.
186,2025-02-02 15:26:07,Delta,positive,,This is a positive tweet about Delta.
187,2025-02-27 09:55:09,United,negative,Flight Booking Problems,This is a negative tweet about United.
188,2025-03-20 15:13:08,United,negative,Flight Booking Problems,This is a negative tweet about United.
189,2025-03-09 01:10:07,Delta,negative,Bad Flight,This is a negative tweet about Delta.
190,2025-02-13 21:19:07,Virgin America,negative,Damaged Luggage,This is a negative tweet about Virgin America.
191,2025-02-14 10:14:58,Virgin America,negative,Other Issue,This is a negative tweet about Virgin America.
192,2025-02-28 20:40:11,Southwest,negative,Damaged Luggage,This is a negative tweet about Southwest.
193,2025-04-03 14:10:32,United,negative,Customer Service Issue,This is a negative tweet about United.
194,2025-04-16 23:47:29,Delta,positive,,This is a positive tweet about Delta.
195,2025-03-30 03:59:39,United,positive,,This is a positive tweet about United.
196,2025-03-27 11:33:56,American,neutral,,This is a neutral tweet about American.
197,2025-03-03 15:54:55,US Airways,positive,,This is a positive tweet about US Airways.
198,2025-02-25 18:37:47,Virgin America,positive,,This is a positive tweet about Virgin America.
199,2025-02-11 19:55:02,American,neutral,,This is a neutral tweet about American.
200,2025-03-05 05:50:09,United,positive,,This is a positive tweet about United.
201,2025-03-31 11:55:06,US Airways,negative,longlines,This is a negative tweet about US Airways.
202,2025-03-04 03:37:47,Southwest,positive,,This is a positive tweet about Southwest.
203,2025-01-25 06:16:38,Virgin America,negative,Flight Attendant Complaints,This is a negative tweet about Virgin America.
204,2025-03-15 11:45:20,American,negative,Other Issue,This is a negative tweet about American.
205,2025-01-31 15:49:44,Southwest,positive,,This is a positive tweet about Southwest.
206,2025-01-24 01:41:48,American,negative,Damaged Luggage,This is a negative tweet about American.
207,2025-03-20 11:18:27,United,neutral,,This is a neutral tweet about United.
208,2025-04-18 02:57:44,US Airways,positive,,This is a positive tweet about US Airways.
209,2025-02-06 14:10:32,JetBlue,negative,Customer Service Issue,This is a negative tweet about JetBlue.
210,2025-03-25 10:35:38,US Airways,negative,Flight Booking Problems,This is a negative tweet about US Airways.
211,2025-04-14 08:24:08,Southwest,negative,longlines,This is a negative tweet about Southwest.
212,2025-01-25 12:18:07,United,negative,Flight Booking Problems,This is a negative tweet about United.
213,2025-03-14 05:20:47,United,neutral,,This is a neutral tweet about United.
214,2025-03-30 14:30:35,American,neutral,,This is a neutral tweet about American.
215,2025-04-09 00:45:00,Southwest,negative,Late Flight,This is a negative tweet about Southwest.
216,2025-03-16 00:09:18,JetBlue,negative,Other Issue,This is a negative tweet about JetBlue.
217,2025-03-16 09:59:53,United,negative,Lost Luggage,This is a negative tweet about United.
218,2025-02-20 10:30:54,United,positive,,This is a positive tweet about United.
219,2025-04-04 14:11:01,Southwest,negative,Flight Attendant Complaints,This is a negative tweet about Southwest.
220,2025-01-23 02:35:46,Southwest,neutral,,This is a neutral tweet about Southwest.
221,2025-03-01 14:13:44,Virgin America,negative,longlines,This is a negative tweet about Virgin America.
222,2025-02-21 01:11:00,Delta,negative,Bad Flight,This is a negative tweet about Delta.
223,2025-01-31 00:40:36,US Airways,negative,longlines,This is a negative tweet about US Airways.
224,2025-03-21 02:34:14,Delta,negative,Cancelled Flight,This is a negative tweet about Delta.
225,2025-03-18 10:45:50,Virgin America,neutral,,This is a neutral tweet about Virgin America.
226,2025-03-22 11:55:25,United,neutral,,This is a neutral tweet about United.
227,2025-04-11 00:09:58,United,negative,Damaged Luggage,This is a negative tweet about United.
228,2025-03-07 02:55:26,US Airways,negative,longlines,This is a negative tweet about US Airways.
229,2025-04-02 12:37:42,JetBlue,negative,Cancelled Flight,This is a negative tweet about JetBlue.
230,2025-02-15 02:57:12,Delta,positive,,This is a positive tweet about Delta.
231,2025-02-13 18:00:49,JetBlue,positive,,This is a positive tweet about JetBlue.
232,2025-02-27 09:56:48,Delta,negative,Flight Attendant Complaints,This is a negative tweet about Delta.
233,2025-01-28 13:48:17,Southwest,neutral,,This is a neutral tweet about Southwest.
234,2025-01-30 16:03:42,Delta,negative,Damaged Luggage,This is a negative tweet about Delta.
235,2025-01-27 15:11:58,Southwest,negative,Bad Flight,This is a negative tweet about Southwest.
236,2025-01-22 11:49:33,American,neutral,,This is a neutral tweet about American.
237,2025-03-26 00:10:26,JetBlue,positive,,This is a positive tweet about JetBlue.
238,2025-01-27 15:30:19,American,negative,Flight Booking Problems,This is a negative tweet about American.
239,2025-01-29 01:30:08,Southwest,neutral,,This is a neutral tweet about Southwest.
240,2025-02-13 11:01:20,US Airways,positive,,This is a positive tweet about US Airways.
241,2025-03-28 14:07:30,JetBlue,negative,Late Flight,This is a negative tweet about JetBlue.
242,2025-03-27 15:51:46,American,neutral,,This is a neutral tweet about American.
243,2025-03-11 09:54:04,US Airways,positive,,This is a positive tweet about US Airways.
244,2025-04-07 18:42:16,Southwest,negative,Damaged Luggage,This is a negative tweet about Southwest.
245,2025-02-21 11:03:46,US Airways,negative,Bad Flight,This is a negative tweet about US Airways.
246,2025-03-17 08:35:37,Delta,negative,Flight Booking Problems,This is a negative tweet about Delta.
247,2025-01-31 06:46:00,Delta,negative,longlines,This is a negative tweet about Delta.
248,2025-02-25 01:02:02,US Airways,negative,Flight Booking Problems,This is a negative tweet about US Airways.
249,2025-04-16 07:27:27,Southwest,negative,Customer Service Issue,This is a negative tweet about Southwest.
250,2025-02-18 22:26:02,JetBlue,neutral,,This is a neutral tweet about JetBlue.
251,2025-03-31 13:31:04,JetBlue,negative,Customer Service Issue,This is a negative tweet about JetBlue.
252,2025-03-29 13:22:45,US Airways,positive,,This is a positive tweet about US Airways.
253,2025-03-29 05:35:46,American,negative,Late Flight,This is a negative tweet about American.
254,2025-01-19 09:40:03,US Airways,negative,Customer Service Issue,This is a negative tweet about US Airways.
255,2025-03-12 10:23:57,American,negative,Customer Service Issue,This is a negative tweet about American.
256,2025-03-14 07:45:33,Southwest,negative,Late Flight,This is a negative tweet about Southwest.
257,2025-03-06 08:41:52,Southwest,negative,Other Issue,This is a negative tweet about Southwest.
258,2025-02-14 13:17:15,Virgin America,negative,Customer Service Issue,This is a negative tweet about Virgin America.
259,2025-02-01 17:21:27,American,negative,Cancelled Flight,This is a negative tweet about American.
260,2025-03-29 11:47:26,JetBlue,positive,,This is a positive tweet about JetBlue.
261,2025-01-22 09:41:21,Virgin America,positive,,This is a positive tweet about Virgin America.
262,2025-04-08 02:02:46,US Airways,negative,longlines,This is a negative tweet about US Airways.
263,2025-02-05 22:55:40,United,positive,,This is a positive tweet about United.
264,2025-04-19 04:01:49,Southwest,negative,Late Flight,This is a negative tweet about Southwest.
265,2025-03-18 02:20:18,United,negative,Bad Flight,This is a negative tweet about United.
266,2025-03-05 14:20:31,Delta,negative,Other Issue,This is a negative tweet about Delta.
267,2025-02-02 17:33:26,Virgin America,negative,Lost Luggage,This is a negative tweet about Virgin America.
268,2025-02-03 05:33:53,US Airways,negative,Bad Flight,This is a negative tweet about US Airways.
269,2025-02-28 20:28:02,American,negative,Bad Flight,This is a negative tweet about American.
270,2025-03-25 03:02:16,Southwest,negative,Lost Luggage,This is a negative tweet about Southwest.
271,2025-02-08 09:01:47,Virgin America,negative,longlines,This is a negative tweet about Virgin America.
272,2025-03-13 16:03:23,United,negative,Bad Flight,This is a negative tweet about United.
273,2025-02-04 01:02:26,Delta,positive,,This is a positive tweet about Delta.
274,2025-03-13 13:46:55,JetBlue,neutral,,This is a neutral tweet about JetBlue.
275,2025-04-03 08:31:35,Virgin America,negative,Flight Attendant Complaints,This is a negative tweet about Virgin America.
276,2025-02-12 04:51:44,US Airways,neutral,,This is a neutral tweet about US Airways.
277,2025-01-19 06:58:01,US Airways,negative,Customer Service Issue,This is a negative tweet about US Airways.
278,2025-04-10 01:51:59,Virgin America,negative,Damaged Luggage,This is a negative tweet about Virgin America.
279,2025-03-13 10:59:45,Delta,negative,Bad Flight,This is a negative tweet about Delta.
280,2025-04-13 09:01:00,American,negative,Flight Attendant Complaints,This is a negative tweet about American.
281,2025-02-04 07:19:42,Virgin America,positive,,This is a positive tweet about Virgin America.
282,2025-03-10 23:37:25,Delta,negative,Bad Flight,This is a negative tweet about Delta.
283,2025-02-07 08:37:11,United,positive,,This is a positive tweet about United.
284,2025-02-13 16:11:37,Virgin America,negative,Bad Flight,This is a negative tweet about Virgin America.
285,2025-02-16 23:23:05,US Airways,negative,Cancelled Flight,This is a negative tweet about US Airways.
286,2025-03-16 18:42:01,Southwest,negative,Late Flight,This is a negative tweet about Southwest.
287,2025-02-01 09:46:51,Delta,positive,,This is a positive tweet about Delta.
288,2025-04-02 08:37:30,Virgin America,negative,Customer Service Issue,This is a negative tweet about Virgin America.
289,2025-02-13 02:38:58,JetBlue,neutral,,This is a neutral tweet about JetBlue.
290,2025-01-20 05:48:09,Delta,positive,,This is a positive tweet about Delta.
291,2025-02-28 23:39:31,Southwest,negative,longlines,This is a negative tweet about Southwest.
292,2025-04-03 04:04:32,United,negative,longlines,This is a negative tweet about United.
293,2025-02-14 09:58:07,JetBlue,neutral,,This is a neutral tweet about JetBlue.
294,2025-02-18 18:57:16,Southwest,neutral,,This is a neutral tweet about Southwest.
295,2025-02-18 17:02:37,American,negative,Late Flight,This is a negative tweet about American.
296,2025-04-01 14:54:12,Delta,positive,,This is a positive tweet about Delta.
297,2025-03-12 20:05:36,American,positive,,This is a positive tweet about American.
298,2025-03-13 20:36:50,JetBlue,positive,,This is a positive tweet about JetBlue.
299,2025-03-19 06:43:39,United,negative,Other Issue,This is a negative tweet about United.
300,2025-01-31 01:36:24,Delta,negative,longlines,This is a negative tweet about Delta.
301,2025-04-19 04:26:39,United,positive,,This is a positive tweet about United.
302,2025-03-30 00:53:22,Southwest,neutral,,This is a neutral tweet about Southwest.
303,2025-02-23 03:51:55,Delta,positive,,This is a positive tweet about Delta.
304,2025-01-26 13:08:59,American,positive,,This is a positive tweet about American.
305,2025-02-03 12:20:35,American,neutral,,This is a neutral tweet about American.
306,2025-04-19 01:47:10,Virgin America,neutral,,This is a neutral tweet about Virgin America.
307,2025-02-06 13:33:54,US Airways,positive,,This is a positive tweet about US Airways.
308,2025-03-09 08:52:59,Southwest,negative,longlines,This is a negative tweet about Southwest.
309,2025-01-23 19:30:05,JetBlue,negative,Other Issue,This is a negative tweet about JetBlue.
310,2025-03-01 23:54:23,American,positive,,This is a positive tweet about American.
311,2025-03-05 14:49:45,JetBlue,negative,Bad Flight,This is a negative tweet about JetBlue.
312,2025-01-23 11:44:03,Virgin America,negative,Damaged Luggage,This is a negative tweet about Virgin America.
313,2025-04-02 09:09:38,Virgin America,neutral,,This is a neutral tweet about Virgin America.
314,2025-04-18 17:25:36,Virgin America,positive,,This is a positive tweet about Virgin America.
315,2025-01-30 11:03:22,Southwest,positive,,This is a positive tweet about Southwest.
316,2025-03-19 04:17:07,Delta,negative,Customer Service Issue,This is a negative tweet about Delta.
317,2025-03-05 03:29:33,United,negative,longlines,This is a negative tweet about United.
318,2025-04-19 01:26:13,Delta,neutral,,This is a neutral tweet about Delta.
319,2025-03-26 06:10:32,US Airways,positive,,This is a positive tweet about US Airways.
320,2025-02-09 10:13:03,Delta,negative,Lost Luggage,This is a negative tweet about Delta.
321,2025-04-11 05:50:00,United,negative,Flight Attendant Complaints,This is a negative tweet about United.
322,2025-04-12 21:56:08,United,positive,,This is a positive tweet about United.
323,2025-03-09 16:50:19,United,neutral,,This is a neutral tweet about United.
324,2025-01-30 18:50:26,US Airways,positive,,This is a positive tweet about US Airways.
325,2025-04-09 17:35:00,US Airways,neutral,,This is a neutral tweet about US Airways.
326,2025-04-05 12:09:24,American,negative,Flight Booking Problems,This is a negative tweet about American.
327,2025-02-10 11:12:53,United,negative,Bad Flight,This is a negative tweet about United.
328,2025-03-11 12:58:02,American,negative,Bad Flight,This is a negative tweet about American.
329,2025-01-31 19:34:52,US Airways,neutral,,This is a neutral tweet about US Airways.
330,2025-03-30 08:33:23,Virgin America,positive,,This is a positive tweet about Virgin America.
331,2025-02-05 19:51:02,JetBlue,positive,,This is a positive tweet about JetBlue.
332,2025-02-04 10:29:41,Southwest,positive,,This is a positive tweet about Southwest.
333,2025-04-14 06:13:13,Southwest,negative,Customer Service Issue,This is a negative tweet about Southwest.
334,2025-03-07 00:45:55,Delta,positive,,This is a positive tweet about Delta.
335,2025-02-01 09:25:11,United,negative,Flight Booking Problems,This is a negative tweet about United.
336,2025-02-14 06:18:07,Southwest,negative,Bad Flight,This is a negative tweet about Southwest.
337,2025-01-21 12:51:19,Delta,negative,Late Flight,This is a negative tweet about Delta.
338,2025-02-21 20:35:59,US Airways,neutral,,This is a neutral tweet about US Airways.
